	AS MFQ AQ	AS MFQ LUM	AS MFQ PQP	AS MFQ PYR	AS PYR AQ	AS PYR LUM	AS PYR MFQ	AS PYR PQP	ATM LUM AQ	ATM LUM MFQ	ATM LUM PQP	ATM LUM PYR	DHA PQP AQ	DHA PQP LUM	DHA PQP MFQ	DHA PQP PYR
918_5_2	6386.207	5928.8004	6078.981	5798.629	7719.7655	6110.52	9018.196	7671.3801	4695.5423	4678.6715	4569.4754	5594.2707	4745.1688	4602.1878	5164.2871	5787.0289
918_5_3	5426.4807	4446.0503	5380.4205	5443.4914	6158.1482	4373.5846	7325.8098	5796.70803	3733.1807	3710.8281	3742.0778	4776.9462	3883.8891	3449.13846	4387.5903	4959.9188
918_5_4	4252.2791	2911.39187	4163.90983	4473.9788	4510.6044	2662.04874	5408.0606	4028.27244	2662.00163	2613.432015	2648.56908	3690.48914	2940.1381	2308.92699	3272.4208	3772.27002
918_5_5	2983.85897	1597.74399	2989.772606	3335.93775	2813.83672	1203.77052	3491.22379	2300.09344	1625.26762	1639.325325	1687.91463	2570.64014	1766.59988	1211.04308	2089.88987	2499.95471
918_5_6	1539.84487	613.80366	1806.341396	2142.67266	1375.5233	222.89322	1876.88986	835.60644	638.75699	786.501006	803.69954	1124.78772	667.18124	393.65834	1028.98109	1377.601922
918_5_7	8.91372	33.1671	689.592626	1013.02284	509.08943	-207.98438	570.90612	-316.14166	-150.73927	202.719626	142.37743	147.75492	94.14725	-138.50704	201.84726	410.722182
918_6_1	7581.189	7658.0734	7444.21	7101.055	9707.1815	8334.002	11502.496	9528.7031	5791.2573	6005.4835	5694.1124	6952.9227	5848.3868	5814.5358	6456.7111	7084.4939
918_6_2	6646.0787	6130.3143	6681.1935	6722.6634	7960.3372	6235.7386	9587.1388	7753.31603	4809.6887	4921.7871	4814.4838	5952.7522	4911.4781	4683.43346	5609.8643	6249.2878
918_6_3	5404.9561	4412.87387	5425.08583	5708.1948	6249.6564	4319.47674	7484.7226	5855.83144	3712.83963	3714.330015	3692.13208	4814.91414	3925.5854	3406.35499	4405.6288	4980.00802
918_6_4	4190.22197	2855.29899	4169.675606	4427.17875	4576.34972	2572.94052	5369.07779	3864.16144	2590.55442	2601.617225	2583.37523	3661.10314	2893.76688	2243.53308	3191.75887	3732.30671
918_6_5	2912.82387	1555.33976	3012.427396	3270.07366	2888.8823	1094.09362	3424.34886	2174.40744	1551.43489	1630.790206	1646.86044	2481.09272	1709.16624	1160.32024	1996.01119	2492.114922
918_6_6	1443.50372	577.1304	1820.635626	2079.62184	1411.74193	142.58322	1825.79812	668.20244	539.49233	762.953026	857.26233	995.02662	657.12775	332.80586	941.75326	1353.779082
918_7_1	7841.0607	7859.5873	8046.4225	8025.0894	9947.7532	8459.2206	12071.4388	9610.63903	5905.4037	6248.5991	5939.1208	7311.4042	6014.6961	5895.78146	6902.2883	7546.7528
918_7_2	6624.5541	6097.13787	6725.85883	6987.3668	8051.8454	6181.63074	9746.0516	7812.43944	4789.34763	4925.289015	4764.53808	5990.72014	4953.1744	4640.64999	5627.9028	6269.37702
918_7_3	5342.89897	4356.78099	5430.851606	5661.39475	6315.40172	4230.36852	7445.73979	5691.72044	3641.39242	3702.515225	3626.93823	4785.52814	3879.21418	3340.96108	4324.96687	4940.04471
918_7_4	4119.18687	2812.89476	4192.330396	4361.31466	4651.3953	2463.26362	5302.20286	3738.47544	2516.72169	2593.082106	2542.32104	3571.55572	2836.33324	2192.81024	3097.88019	3724.466922
918_7_5	2816.48272	1518.6665	3026.721626	3207.02284	2925.10093	1013.78362	3373.25712	2007.00344	1452.17023	1607.242226	1700.42323	2351.33162	1699.11275	1099.46776	1908.78336	2468.292082
918_8_1	7819.5361	7826.41087	8091.08783	8289.7928	10039.2614	8405.11274	12230.3516	9669.76244	5885.06263	6252.101015	5889.17508	7349.37214	6056.3924	5852.99799	6920.3268	7566.84202
918_8_2	6562.49697	6041.04499	6731.624606	6940.56675	8117.59072	6092.52252	9707.06879	7648.32844	4717.90042	4913.474225	4699.34423	5961.33414	4906.80318	4575.25608	5547.24087	6229.41371
918_8_3	5271.86387	4314.37676	5453.506396	5595.53066	6390.4473	4120.69162	7378.86486	5566.03444	3567.55969	3693.980106	3585.88404	4695.98072	3821.78054	3290.23824	4231.08819	4932.204922
918_8_4	4022.84572	2776.2215	4206.624626	4298.26384	4687.61393	2382.95362	5251.11112	3571.07144	2417.45703	2569.534126	2595.88383	3441.79462	2826.27975	2131.95776	3010.65236	3700.644082
918_9_1	7757.47897	7770.31799	8096.853606	8242.99275	10105.00672	8316.00452	12191.36879	9505.65144	5813.61542	6240.286225	5823.98123	7319.98614	6010.02118	5787.60408	6839.66487	7526.87871
918_9_2	6491.46187	5998.64076	6754.279396	6874.70266	8192.6363	5982.84562	9640.19386	7522.64244	4644.06769	4904.939106	4658.29004	5871.78672	4849.36954	4524.53324	5453.36219	6221.573922
918_9_3	5175.52272	4277.7035	5467.800626	5532.47984	6426.66593	4040.38162	7327.77312	5398.63044	3468.29503	3670.432126	3639.44683	4566.21962	3811.72705	3229.38576	4143.86036	4908.382082
918_10_1	7686.44387	7727.91376	8119.508396	8177.12866	10180.0523	8206.32762	12124.49386	9379.96544	5739.78269	6231.751106	5782.92704	7230.43872	5952.58754	5736.88124	6745.78619	7519.038922
918_10_2	6395.12072	5961.9675	6768.573626	6811.65184	8228.85493	5902.53562	9589.10212	7355.23844	4544.80303	4881.391126	4711.85283	5742.02562	4839.31605	4463.68076	5366.13436	6197.751082
918_11_1	7590.10272	7691.2405	8133.802626	8114.07784	10216.27093	8126.01762	12073.40212	9212.56144	5640.51803	6208.203126	5836.48983	7100.67762	5942.53405	5676.02876	6658.55836	7495.216082
931_1_1	2414.58	1588.676	1463.73	1366.596	1778.907	2699.349	2852.271	1713.083	1395.339	2046.734	1487.932	1824.217	688.3067	1321.661	1499.333	1383.985
931_1_2	2372.275	1420.519	1405.046	1354.669	1693.859	2423.461	2499.593	1682.077	1208.006	1842.619	1414.72	1802.531	631.137	1243.057	1244.981	1259.997
931_1_3	2359.04	1205.738	1392.784	1315.451	1671.688	2232.168	2385.812	1606.877	1166.631	1820.257	1411.579	1701.007	596.03	1148.755	1166.403	1154.618
931_1_4	2579.342	1033.087	1291.098	1174.131	1683.118	2123.706	2638.864	1530.515	1235.122	1899.326	1356.202	1906.457	702.0146	1156.233	1433.146	1472.664
931_1_5	2807.569	664.482	1288.711	1253.029	1612.382	1547.302	2295.677	1009.025	1191.285	1709.996	1389.265	1863.839	721.7092	980.7535	1345.531	1459.99
931_1_6	1694.4617	238.6866	1154.628	1163.455	1142.739	655.4492	1760.729	242.1369	1116.7	1306.918	1109.338	1563.97	719.0707	458.7522	1019.852	857.947
931_1_7	238.3471	-71.90821	573.3323	1059.315	233.9711	176.584	875.7646	86.37337	247.7463	919.9282	530.5209	860.5794	137.4865	53.14726	631.8349	134.5749
931_1_8	-83.58173	-192.8103	181.5421	720.848	-16.65708	-37.72809	314.5283	-83.6518	-64.74729	223.5103	115.9903	-46.91256	-1.38748	-155.7725	41.82741	-91.58603
931_1_9	-133.09223	-217.1503	139.6737	216.5986	-30.92901	-73.13458	64.03368	-119.882	-81.6114	-85.27557	102.9014	-73.74297	-31.26288	-190.0569	-146.7048	-128.6713
931_1_10	-167.37625	-221.1471	173.4379	-44.12912	-27.51631	-60.77504	-30.90916	-128.677	-88.05932	-113.3542	122.7682	-69.09003	-38.66798	-172.8485	-169.3846	-140.4817
931_1_11	3567.257	-231.5942	159.7888	-44.61181	-35.63439	-48.82283	-37.50846	-133.338	-96.26542	-111.7768	115.2033	-87.25634	-31.81347	-158.2249	-157.2177	-158.7422
931_2__1	4786.855	3009.195	2868.776	2721.265	3472.766	5122.81	5351.864	3395.16	2603.345	3889.353	2902.652	3626.748	1319.4437	2564.718	2744.314	2643.982
931_2__2	4731.315	2626.257	2797.83	2670.12	3365.547	4655.629	4885.405	3288.954	2374.637	3662.876	2826.299	3503.538	1227.167	2391.812	2411.384	2414.615
931_2__3	4938.382	2238.825	2683.882	2489.582	3354.806	4355.874	5024.676	3137.392	2401.753	3719.583	2767.781	3607.464	1298.0446	2304.988	2599.549	2627.282
931_2__4	5386.911	1697.569	2579.809	2427.16	3295.5	3671.008	4934.541	2539.54	2426.407	3609.322	2745.467	3770.296	1423.7238	2136.9865	2778.677	2932.654
931_2__5	4502.0307	903.1686	2443.339	2416.484	2755.121	2202.7512	4056.406	1251.1619	2307.985	3016.914	2498.603	3427.809	1440.7799	1439.5057	2365.383	2317.937
931_2__6	1932.8088	166.77839	1727.9603	2222.77	1376.7101	832.0332	2636.4936	328.51027	1364.4463	2226.8462	1639.8589	2424.5494	856.5572	511.89946	1651.6869	992.5219
931_2__7	154.76537	-264.71851	754.8744	1780.163	217.31402	138.85591	1190.2929	2.72157	182.99901	1143.4385	646.5112	813.66684	136.09902	-102.62524	673.66231	42.98887
931_2__8	-216.67396	-409.9606	321.2158	937.4466	-47.58609	-110.86267	378.56198	-203.5338	-146.35869	138.23473	218.8917	-120.65553	-32.65036	-345.8294	-104.87739	-220.25733
